Name,Market Cap,Price,Circulating Supply,Volume(24h),%24h
BTC,"$382,576,542,382.12","$19,986.71","19,141,543","$25,245,861,651.62",0.71
ETH,"$192,853,381,586.06","$1,577.64","122,241,565","$8,884,144,997.97",0.65
USDT,"$67,554,552,922.52",$1.00,"67,550,404,104","$31,495,577,329.84",0.00
USDC,"$51,881,772,221.08",$1.00,"51,876,228,265","$6,332,291,605.54",0.02
BNB,"$44,987,580,579.29",$278.84,"161,337,261","$512,014,471.20",0.50
BUSD,"$19,438,038,369.83",$1.00,"19,433,224,173","$4,345,105,640.68",0.02
ADA,"$17,196,438,526.17",$0.5031,"34,182,044,153","$907,968,826.86",0.80
XRP,"$16,472,643,158.02",$0.3318,"49,646,492,379","$431,905,799.58",0.31
SOL,"$11,232,288,701.59",$32.11,"349,839,720","$392,954,662.90",0.60
DOGE,"$8,388,285,911.62",$0.06323,"132,670,764,300","$250,044,435.77",0.63
DOT,"$8,207,842,547.61",$7.37,"1,113,617,437","$251,349,146.74",0.85
MATIC,"$7,763,819,651.46",$0.8942,"8,682,124,704","$264,242,142.09",0.50
SHIB,"$7,043,373,460.54",$0.00001283,"549,063,278,876,302","$553,998,914.58",0.81
DAI,"$6,907,059,654.28",$1.00,"6,905,195,194","$531,272,774.50",0.01
TRX,"$5,867,913,136.97",$0.06352,"92,379,037,267","$269,500,806.43",0.32
AVAX,"$5,596,931,299.35",$19.01,"294,497,822","$194,656,841.02",0.66
LEO,"$5,016,924,079.11",$5.26,"953,954,130","$3,502,093.91",0.18
WBTC,"$4,951,539,645.15","$19,961.09","248,060","$177,382,527.43",0.49
UNI,"$4,825,206,870.83",$6.47,"745,861,824","$76,644,308.45",1.11
ETC,"$4,436,260,430.43",$32.45,"136,698,172","$396,140,475.63",0.75
LTC,"$4,329,799,698.36",$60.90,"71,095,831 LTC","$404,022,020.97",1.79%
ATOM,"$3,723,494,384.85",$13.00,"286,370,297 ATOM *","$255,140,543.29",1.31%
FTT,"$3,541,573,966.35",$26.39,"134,214,017 FTT *","$234,120,295.73",0.63%
LINK,"$3,512,933,391.37",$7.15,"491,599,970 LINK *","$319,007,195.13",0.59%
NEAR,"$3,289,456,778.09",$4.24,"776,285,352 NEAR *","$129,157,463.90",0.63%
CRO,"$3,034,526,688.56",$0.1201,"25,263,013,692 CRO *","$12,988,729.62",0.44%
XMR,"$2,827,833,029.83",$155.63,"18,170,098 XMR","$64,303,551.31",0.37%
XLM,"$2,690,302,887.66",$0.1064,"25,287,360,772 XLM *","$71,590,123.44",0.53%
BCH,"$2,264,069,153.31",$118.14,"19,164,719 BCH","$175,273,025.43",0.69%
ALGO,"$2,154,651,557.82",$0.3123,"6,899,258,116 ALGO *","$86,586,015.80",0.67%
FLOW,"$2,017,737,262.03",$1.95,"1,036,200,000 FLOW *","$34,489,351.86",0.65%
VET,"$1,813,145,863.60",$0.02501,"72,511,146,418 VET *","$59,702,993.70",0.74%
FIL,"$1,725,734,210.18",$6.26,"275,534,960 FIL","$206,437,211.18",0.50%
ICP,"$1,711,903,308.82",$6.69,"255,970,775 ICP *","$65,826,671.88",0.15%
MANA,"$1,497,131,479.19",$0.8082,"1,852,404,197 MANA *","$126,010,698.35",0.66%
EOS,"$1,492,120,336.03",$1.49,"999,734,381 EOS *","$226,812,988.07",0.80%
APE,"$1,471,132,614.35",$4.79,"306,875,000 APE *","$90,847,904.03",0.73%
SAND,"$1,431,738,694.81",$0.9718,"1,473,270,110 SAND *","$213,040,534.63",0.82%
XTZ,"$1,412,230,542.58",$1.56,"907,758,804 XTZ *","$20,562,051.75",0.34%
HBAR,"$1,297,882,298.45",$0.06156,"21,084,776,584 HBAR *","$20,783,310.26",0.58%
CHZ,"$1,276,075,952.44",$0.2127,"6,000,386,953 CHZ *","$184,262,747.72",0.70%
AAVE,"$1,244,951,158.62",$88.86,"14,010,941 AAVE *","$83,698,254.83",0.91%
AXS,"$1,217,126,301.97",$14.55,"83,651,192 AXS *","$119,667,968.56",0.32%
EGLD,"$1,190,448,262.91",$51.54,"23,095,618 EGLD *","$22,053,765.79",0.72%
THETA,"$1,168,716,925.08",$1.17,"1,000,000,000 THETA *","$17,682,020.73",0.74%
QNT,"$1,149,985,827.49",$95.25,"12,072,738 QNT *","$13,034,771.36",0.72%
TUSD,"$1,060,220,110.58",$1.00,"1,060,135,401 TUSD *","$195,958,522.63",0.01%
BSV,"$1,020,230,510.26",$53.25,"19,160,870 BSV","$65,892,300.85",0.83%
ZEC,"$970,428,642.86",$63.87,"15,193,319 ZEC","$58,593,002.55",0.61%
USDP,"$946,714,180.57",$1.00,"945,642,940 USDP *","$1,641,125.99",0.03%
OKB,"$927,991,144.23",$15.47,"60,000,000 OKB *","$6,719,638.56",0.32%
KCS,"$922,760,239.58",$9.38,"98,379,861 KCS *","$2,059,331.58",0.50%
XEC,"$850,780,501.36",$0.0000444,"19,161,773,423,303 XEC","$13,270,777.28",0.21%
BTT,"$831,523,360.56",$0.00000088,"940,054,375,000,000 BTT *","$28,384,922.63",0.30%
MIOTA,"$807,633,484.16",$0.2906,"2,779,530,283 MIOTA *","$10,982,739.09",0.51%
MKR,"$734,171,153.78",$750.97,"977,631 MKR *","$46,413,746.38",1.07%
HT,"$731,763,839.97",$4.77,"153,357,694 HT *","$9,098,295.43",0.25%
USDD,"$725,229,704.93",$0.9999,"725,332,038 USDD *","$89,069,461.87",0.05%
GRT,"$720,109,472.93",$0.1044,"6,900,000,000 GRT *","$31,310,401.44",0.59%
SNX,"$705,533,393.01",$2.98,"236,790,487 SNX *","$46,564,279.19",0.62%
FTM,"$694,618,938.97",$0.2729,"2,545,006,273 FTM *","$71,630,525.14",0.57%
KLAY,"$695,505,352.41",$0.2307,"3,014,989,690 KLAY *","$21,330,471.56",0.40%
NEO,"$670,770,345.61",$9.51,"70,538,831 NEO *","$29,125,350.67",0.72%
USDN,"$651,633,438.94",$0.9521,"684,444,809 USDN *","$1,724,579.08",1.54%
RUNE,"$642,493,745.43",$1.94,"330,688,061 RUNE *","$30,029,864.36",0.85%
LDO,"$642,251,926.59",$2.05,"312,951,154 LDO *","$49,452,323.69",1.79%
CAKE,"$583,040,885.84",$4.12,"141,347,015 CAKE *","$37,670,784.57",1.23%
NEXO,"$585,577,244.34",$1.05,"560,000,011 NEXO *","$18,085,416.43",0.38%
CRV,"$574,284,717.82",$1.09,"527,575,451 CRV *","$62,386,296.50",1.13%
PAXG,"$557,038,403.88","$1,706.49","326,424 PAXG *","$5,318,647.03",0.07%
HNT,"$543,672,602.78",$4.33,"125,494,961 HNT","$18,174,229.75",0.68%
ENJ,"$534,688,141.02",$0.5347,"1,000,000,000 ENJ *","$39,474,164.23",0.57%
BAT,"$523,614,921.04",$0.3495,"1,498,344,316 BAT *","$23,688,391.55",0.62%
DASH,"$518,326,930.97",$47.56,"10,897,906 DASH","$57,342,220.35",0.63%
WAVES,"$503,690,664.25",$4.61,"109,242,856 WAVES *","$99,425,698.93",0.59%
LRC,"$490,424,065.93",$0.3687,"1,330,119,710 LRC *","$44,148,188.18",0.71%
STX,"$489,555,507.04",$0.3675,"1,332,159,439 STX","$6,517,193.23",0.70%
ZIL,"$483,438,453.31",$0.03648,"13,252,369,154 ZIL","$52,849,221.42",0.71%
MINA,"$446,052,377.44",$0.6727,"663,047,099 MINA *","$11,925,989.42",0.41%
DCR,"$436,877,204.30",$30.50,"14,321,570 DCR","$1,749,550.05",0.11%
KSM,"$428,346,286.65",$50.57,"8,470,098 KSM *","$23,377,979.69",0.41%
KAVA,"$425,480,178.16",$1.70,"250,874,925 KAVA *","$8,404,028.28",0.73%
GMT,"$424,313,507.68",$0.7072,"600,000,000 GMT *","$100,413,996.12",0.68%
FEI,"$421,806,425.17",$0.9925,"424,996,178 FEI *","$4,196,041.22",0.06%
TWT,"$407,772,305.40",$0.9787,"416,649,900 TWT *","$3,359,778.67",0.67%
GNO,"$402,271,734.96",$155.94,"2,579,588 GNO *","$7,438,319.43",0.37%
XEM,"$397,639,135.68",$0.04418,"8,999,999,999 XEM *","$8,393,021.38",0.61%
BTG,"$396,898,776.65",$22.66,"17,513,924 BTG","$6,106,623.46",0.57%
1INCH,"$390,677,562.54",$0.6723,"581,125,712 1INCH *","$34,046,083.25",0.51%
CELO,"$387,943,992.30",$0.8391,"462,324,704 CELO *","$6,306,507.49",0.93%
HOT,"$375,158,682.91",$0.002164,"173,342,974,127 HOT *","$41,909,221.94",5.08%
RVN,"$361,754,745.39",$0.03454,"10,473,290,000 RVN","$111,678,008.42",1.21%
GALA,"$360,114,621.67",$0.05161,"6,977,205,436 GALA *","$100,576,004.35",0.68%
CVX,"$356,092,073.07",$5.29,"67,347,489 CVX *","$6,579,282.74",0.77%
COMP,"$351,084,452.51",$48.58,"7,227,484 COMP *","$21,427,645.42",0.70%
YFI,"$345,379,173.56","$9,426.87","36,638 YFI *","$46,196,835.38",0.82%
ANKR,"$345,759,135.50",$0.03578,"9,662,899,378 ANKR *","$49,392,719.60",1.71%
AR,"$342,590,535.15",$10.26,"33,394,701 AR *","$8,809,061.04",0.91%
CEL,"$343,866,590.46",$1.44,"238,863,520 CEL *","$8,621,863.21",0.07%
GUSD,"$344,547,582.18",$0.9969,"345,621,827 GUSD *","$586,694.67",0.32%
QTUM,"$337,512,684.69",$3.24,"104,316,086 QTUM *","$35,734,554.83",0.65%
GT,"$329,197,925.34",$4.19,"78,488,224 GT *","$2,693,060.54",0.17%
ROSE,"$325,366,787.58",$0.06472,"5,027,383,223 ROSE *","$20,500,773.36",0.99%
XDC,"$322,267,976.25",$0.02619,"12,305,012,699 XDC *","$2,110,216.67",0.13%
FLUX,"$311,660,979.71",$1.20,"258,942,586 FLUX","$52,637,264.67",2.83%
BAL,"$313,226,402.15",$7.18,"43,620,029 BAL *","$11,718,942.75",1.09%
KDA,"$311,873,978.21",$1.57,"198,047,245 KDA","$8,671,647.01",1.01%
TFUEL,"$304,176,940.25",$0.05738,"5,301,214,400 TFUEL *","$6,565,992.95",0.52%
KNC,"$299,639,700.52",$1.69,"177,809,350 KNC *","$27,854,116.25",0.44%
USTC,"$295,666,289.64",$0.03012,"9,815,490,838 USTC *","$27,699,598.47",0.32%
IOTX,"$287,545,272.00",$0.03014,"9,540,779,324 IOTX *","$5,161,585.79",0.82%
ENS,"$277,904,425.61",$13.73,"20,244,862 ENS *","$40,481,682.30",1.80%
OP,"$275,359,295.66",$1.17,"234,748,364 OP","$120,942,358.06",1.25%
RSR,"$267,221,436.94",$0.006317,"42,302,323,974 RSR *","$6,260,515.52",0.69%
OMG,"$267,773,665.57",$1.91,"140,245,398 OMG *","$28,378,184.88",0.22%
ONE,"$263,626,972.11",$0.02103,"12,534,844,529 ONE *","$17,008,666.97",1.27%
LPT,"$258,567,200.04",$10.53,"24,553,781 LPT *","$8,820,865.98",0.69%
AMP,"$255,590,327.03",$0.006053,"42,227,702,186 AMP","$3,193,904.63",0.40%
ZRX,"$253,509,520.56",$0.2991,"847,496,055 ZRX *","$9,020,961.90",0.71%
ICX,"$250,373,809.37",$0.2723,"919,483,096 ICX *","$4,346,880.72",1.00%
JST,"$247,461,454.48",$0.0278,"8,902,080,000 JST *","$40,988,008.24",0.63%
AUDIO,"$243,193,764.03",$0.2949,"824,683,041 AUDIO *","$5,419,327.68",0.78%
IOST,"$242,782,262.19",$0.01306,"18,588,745,668 IOST *","$6,266,371.27",0.64%
GLM,"$238,867,924.33",$0.2389,"1,000,000,000 GLM *","$2,253,171.32",0.32%
HIVE,"$237,688,281.59",$0.5445,"436,492,505 HIVE *","$3,291,093.95",0.42%
XYM,"$235,400,773.42",$0.04217,"5,582,460,005 XYM","$1,924,687.99",0.21%
BTRST,"$231,428,722.57",$1.93,"119,853,514 BTRST *","$1,728,937.69",0.93%
STORJ,"$227,607,593.94",$0.5539,"410,941,482 STORJ *","$14,963,859.04",0.44%
SRM,"$215,557,020.65",$0.8188,"263,244,669 SRM *","$17,041,134.71",0.09%
ONT,"$213,651,385.67",$0.2441,"875,249,524 ONT *","$14,390,177.81",0.45%
ZEN,"$209,307,611.06",$16.37,"12,786,394 ZEN","$11,478,970.13",0.84%
SC,"$208,394,227.21",$0.004021,"51,828,502,992 SC","$1,644,770.52",0.40%
WAXP,"$207,467,068.96",$0.0967,"2,145,471,544 WAXP *","$4,343,342.69",0.24%
ABBC,"$201,652,793.76",$0.1998,"1,009,264,478 ABBC *","$19,818,089.21",1.37%
IMX,"$198,518,229.23",$0.8437,"235,284,001 IMX *","$10,255,814.71",0.76%
UMA,"$190,625,264.61",$2.77,"68,814,811 UMA *","$10,987,394.99",0.43%
GLMR,"$191,831,962.91",$0.5286,"362,872,402 GLMR *","$7,492,571.05",1.31%
SXP,"$190,088,186.41",$0.3829,"496,447,689 SXP *","$12,754,326.33",0.54%
SKL,"$187,691,297.42",$0.05066,"3,704,977,671 SKL *","$6,868,937.73",0.69%
WOO,"$179,364,662.68",$0.1563,"1,147,498,590 WOO *","$9,213,127.92",1.40%
POLY,"$175,914,793.73",$0.1902,"924,998,413 POLY *","$1,909,945.33",0.41%
SLP,"$172,866,204.88",$0.003991,"43,312,386,260 SLP *","$11,800,785.52",0.31%
SCRT,"$171,534,214.35",$1.05,"163,295,557 SCRT *","$2,456,445.81",0.68%
DGB,"$167,144,507.53",$0.0107,"15,622,189,861 DGB","$4,657,190.24",0.53%
CSPR,"$165,385,247.57",$0.02769,"5,973,365,210 CSPR *","$2,809,991.44",0.31%
CHSB,"$165,144,295.26",$0.1651,"1,000,000,000 CHSB *","$222,759.27",0.54%
NFT,"$162,567,352.63",$0.00000059,"277,080,562,500,000 NFT *","$21,167,239.76",0.30%
DAO,"$161,500,455.33",$1.75,"92,077,195 DAO *","$5,032,628.25",2.44%
ELON,"$154,860,258.21",$0.00000028,"548,213,479,764,776 ELON *","$2,088,018.60",0.23%
PLA,"$151,379,452.46",$0.3575,"423,447,002 PLA *","$5,034,482.07",0.28%
SUSHI,"$146,902,632.00",$1.15,"127,244,443 SUSHI *","$23,994,721.10",1.26%
VGX,"$145,389,656.70",$0.5221,"278,482,214 VGX *","$11,396,819.11",18.85%
CVC,"$143,494,978.18",$0.1435,"1,000,000,000 CVC *","$4,071,057.11",0.78%
CEEK,"$137,714,074.13",$0.1709,"805,717,779 CEEK *","$19,341,849.32",0.27%
LSK,"$136,336,101.12",$1.06,"128,900,445 LSK *","$1,661,050.41",0.58%
EPS,"$135,473,837.59",$0.1872,"723,701,572 EPS *","$1,890,650.60",0.35%
KEEP,"$133,206,854.28",$0.1557,"855,798,667 KEEP *","$744,774.77",0.95%
SPELL,"$132,917,413.70",$0.001336,"99,472,230,599 SPELL *","$25,259,664.48",0.57%
PUNDIX,"$132,610,293.47",$0.513,"258,491,637 PUNDIX","$4,328,044.98",0.33%
RNDR,"$131,088,376.35",$0.5165,"253,798,860 RNDR *","$4,796,503.94",0.80%
MED,"$130,558,143.40",$0.02098,"6,222,777,786 MED *","$534,311.54",0.05%
TRIBE,"$129,400,068.78",$0.2854,"453,448,622 TRIBE *","$9,636,731.58",4.74%
BTCST,"$129,995,980.45",$10.65,"12,201,404 BTCST *","$10,240,760.27",0.16%
CKB,"$128,508,616.98",$0.003854,"33,340,068,750 CKB","$952,776.10",0.12%
CELR,"$126,546,229.73",$0.01786,"7,085,488,367 CELR *","$4,729,161.09",0.51%
REN,"$122,941,559.73",$0.1231,"999,037,500 REN *","$7,335,239.51",0.88%
EWT,"$121,473,675.03",$4.04,"30,062,138 EWT *","$1,048,416.44",0.54%
XNO,"$118,973,443.95",$0.8929,"133,248,297 XNO *","$2,322,243.77",0.55%
ONG,"$113,283,649.08",$0.3562,"318,051,858 ONG *","$4,478,905.30",0.46%
REQ,"$113,237,435.97",$0.1133,"999,830,316 REQ *","$10,547,137.47",2.12%
INJ,"$113,325,186.23",$1.60,"71,005,554 INJ *","$12,239,011.33",0.32%
NU,"$112,316,084.68",$0.1598,"703,000,000 NU *","$5,623,317.68",0.62%
CFX,"$109,802,457.83",$0.05252,"2,090,735,404 CFX","$2,741,675.29",0.78%
PEOPLE,"$109,018,528.20",$0.02154,"5,060,137,335 PEOPLE","$30,943,438.35",1.31%
ORBS,"$109,341,659.95",$0.03801,"2,876,767,039 ORBS *","$1,070,521.64",0.50%
UOS,"$108,191,420.05",$0.3561,"303,793,578 UOS *","$957,723.13",0.94%
WIN,"$106,304,319.54",$0.0001105,"961,737,300,000 WIN *","$72,444,712.55",0.58%
COTI,"$106,172,573.10",$0.09577,"1,108,643,952 COTI *","$4,814,501.25",0.80%
FX,"$105,949,654.79",$0.2593,"408,520,357 FX *","$1,843,815.60",0.40%
DYDX,"$104,170,079.39",$1.59,"65,569,295 DYDX *","$31,232,758.11",1.12%
ARDR,"$103,616,451.87",$0.1037,"998,999,495 ARDR *","$1,568,087.80",0.54%
NMR,"$102,241,552.25",$17.36,"5,888,504 NMR *","$4,410,084.03",0.48%
POWR,"$102,232,599.13",$0.2106,"485,339,140 POWR *","$2,339,206.33",0.37%
FXS,"$102,346,321.02",$6.31,"16,209,405 FXS *","$5,798,531.40",1.09%
XYO,"$101,853,617.51",$0.00793,"12,844,821,266 XYO *","$775,423.29",0.54%
CHR,"$101,387,238.24",$0.1787,"567,369,439 CHR *","$9,388,510.85",0.65%
OCEAN,"$100,683,046.74",$0.1642,"613,099,141 OCEAN *","$3,872,216.53",0.66%
SNT,"$99,822,678.84",$0.02876,"3,470,483,788 SNT *","$1,553,652.41",0.36%
SYS,"$98,576,587.31",$0.1496,"659,117,327 SYS","$4,962,726.14",2.48%
TEL,"$98,030,623.30",$0.001563,"62,728,700,558 TEL *","$794,363.33",0.31%
API3,"$97,605,335.20",$1.73,"56,547,601 API3 *","$6,707,011.41",1.09%
DENT,"$97,388,106.85",$0.0009836,"99,007,791,203 DENT *","$9,166,505.66",0.83%
PROM,"$96,960,629.16",$5.89,"16,450,000 PROM *","$3,198,113.05",0.50%
DAG,"$95,211,200.02",$0.07515,"1,266,911,931 DAG *","$436,536.95",0.67%
BNT,"$95,078,821.87",$0.4669,"203,626,640 BNT *","$3,473,915.19",0.31%
